basename,orbit,mirror,filter,hole,energy_keV,funnelling_eff,funnelling_eff_err,geom_factor_cm2,total_particles,total_particles_err,cl
output_DCC_filterOn_500keV_option4_N1m.root,98-deg,DCC,filterOn,withOpening,500,6.600000e-04,2.568199e-05,4.708164e-02,4.035349e+06,1.570239e+05,CL95
output_DPH_filterOff_1000keV_option4_N1m.root,98-deg,DPH,filterOff,withOpening,1000,8.900000e-04,2.981959e-05,4.708164e-02,2.927083e+06,9.807238e+04,CL95
output_DPH_filterOff_100keV_ss_N300k.root,98-deg,DPH,filterOff,withOpening,100,8.066667e-04,5.183358e-05,4.708164e-02,1.139000e+07,7.318815e+05,CL95
output_DPH_filterOff_250keV_ss_N300k.root,98-deg,DPH,filterOff,withOpening,250,9.466667e-04,5.614774e-05,4.708164e-02,7.912651e+06,4.693071e+05,CL95
output_DPH_filterOff_500keV_option4_N1m.root,98-deg,DPH,filterOff,withOpening,500,6.530000e-04,2.554552e-05,4.708164e-02,3.992550e+06,1.561895e+05,CL95
output_DPH_filterOn_1000keV_option4_N1m.root,98-deg,DPH,filterOn,withOpening,1000,9.440000e-04,3.071008e-05,4.708164e-02,3.104682e+06,1.010011e+05,CL95
output_DPH_filterOn_100keV_ss_N300k.root,98-deg,DPH,filterOn,withOpening,100,3.000000e-04,3.161803e-05,4.708164e-02,4.235950e+06,4.464414e+05,CL95
output_DPH_filterOn_250keV_ss_N300k.root,98-deg,DPH,filterOn,withOpening,250,7.133333e-04,4.874507e-05,4.708164e-02,5.962349e+06,4.074324e+05,CL95
output_DPH_filterOn_500keV_option4_N1m.root,98-deg,DPH,filterOn,withOpening,500,6.130000e-04,2.475125e-05,4.708164e-02,3.747984e+06,1.513332e+05,CL95
output_SP_filterOff_1000keV_option4_N1m.root,98-deg,SP,filterOff,withOpening,1000,5.380000e-04,2.318859e-05,5.275936e-02,1.982783e+06,8.546086e+04,CL95
output_SP_filterOff_100keV_ss_N300k.root,98-deg,SP,filterOff,withOpening,100,4.333333e-04,3.799761e-05,5.275936e-02,6.856455e+06,6.012206e+05,CL95
output_SP_filterOff_250keV_ss_N300k.root,98-deg,SP,filterOff,withOpening,250,5.400000e-04,4.241495e-05,5.275936e-02,5.057858e+06,3.972755e+05,CL95
output_SP_filterOff_500keV_option4_N1m.root,98-deg,SP,filterOff,withOpening,500,4.380000e-04,2.092387e-05,5.275936e-02,3.000953e+06,1.433597e+05,CL95
output_SP_filterOn_1000keV_option4_N1m.root,98-deg,SP,filterOn,withOpening,1000,5.370000e-04,2.316704e-05,5.275936e-02,1.979098e+06,8.538144e+04,CL95
output_SP_filterOn_100keV_ss_N300k.root,98-deg,SP,filterOn,withOpening,100,2.366667e-04,2.808384e-05,5.275936e-02,3.744679e+06,4.443591e+05,CL95
output_SP_filterOn_250keV_ss_N300k.root,98-deg,SP,filterOn,withOpening,250,4.833333e-04,4.012895e-05,5.275936e-02,4.527095e+06,3.758639e+05,CL95
output_SP_filterOn_500keV_option4_N1m.root,98-deg,SP,filterOn,withOpening,500,4.340000e-04,2.082815e-05,5.275936e-02,2.973547e+06,1.427039e+05,CL95
output_DCC_filterOff_50keV_ss_N100k.root,98-deg,DCC,filterOff,withoutOpening,50,6.300000e-04,7.934753e-05,4.708164e-02,0.000000e+00,0.000000e+00,CL95
output_DCC_filterOn_50keV_ss_N100k.root,98-deg,DCC,filterOn,withoutOpening,50,8.000000e-05,2.828314e-05,4.708164e-02,0.000000e+00,0.000000e+00,CL95
output_DPH_filterOff_50keV_ss_N100k.root,98-deg,DPH,filterOff,withoutOpening,50,7.100000e-04,8.423158e-05,4.708164e-02,0.000000e+00,0.000000e+00,CL95
output_DPH_filterOn_50keV_ss_N100k.root,98-deg,DPH,filterOn,withoutOpening,50,8.000000e-05,2.828314e-05,4.708164e-02,0.000000e+00,0.000000e+00,CL95
output_SP_filterOff_50keV_ss_N100k.root,98-deg,SP,filterOff,withoutOpening,50,4.300000e-04,6.556029e-05,5.275936e-02,0.000000e+00,0.000000e+00,CL95
output_SP_filterOn_50keV_ss_N100k.root,98-deg,SP,filterOn,withoutOpening,50,1.000000e-05,9.999950e-06,5.275936e-02,0.000000e+00,0.000000e+00,CL95
output_DCC_filterOff_1000keV_option4_N1m.root,98-deg,DCC,filterOff,withoutOpening,1000,8.280000e-04,2.876307e-05,4.708164e-02,2.719952e+06,9.448573e+04,CL95
output_DCC_filterOff_100keV_ss_N300k.root,98-deg,DCC,filterOff,withoutOpening,100,8.200000e-04,5.225985e-05,4.708164e-02,1.156457e+07,7.370274e+05,CL95
output_DCC_filterOff_250keV_ss_N300k.root,98-deg,DCC,filterOff,withoutOpening,250,8.266667e-04,5.247168e-05,4.708164e-02,6.901464e+06,4.380622e+05,CL95
output_DCC_filterOff_500keV_option4_N1m.root,98-deg,DCC,filterOff,withoutOpening,500,6.100000e-04,2.469064e-05,4.708164e-02,3.725229e+06,1.507841e+05,CL95
output_DCC_filterOn_1000keV_option4_N1m.root,98-deg,DCC,filterOn,withoutOpening,1000,8.810000e-04,2.966857e-05,4.708164e-02,2.894055e+06,9.746025e+04,CL95
output_DCC_filterOn_100keV_ss_N300k.root,98-deg,DCC,filterOn,withoutOpening,100,3.000000e-04,3.161803e-05,4.708164e-02,4.230939e+06,4.459132e+05,CL95
output_DCC_filterOn_250keV_ss_N300k.root,98-deg,DCC,filterOn,withoutOpening,250,7.166667e-04,4.885874e-05,4.708164e-02,5.983124e+06,4.078994e+05,CL95
output_DCC_filterOn_500keV_option4_N1m.root,98-deg,DCC,filterOn,withoutOpening,500,5.910000e-04,2.430331e-05,4.708164e-02,3.609197e+06,1.484186e+05,CL95
output_DPH_filterOff_1000keV_option4_N1m.root,98-deg,DPH,filterOff,withoutOpening,1000,8.140000e-04,2.851907e-05,4.708164e-02,2.673963e+06,9.368419e+04,CL95
output_DPH_filterOff_100keV_ss_N300k.root,98-deg,DPH,filterOff,withoutOpening,100,7.566667e-04,5.020273e-05,4.708164e-02,1.067137e+07,7.080155e+05,CL95
output_DPH_filterOff_250keV_ss_N300k.root,98-deg,DPH,filterOff,withoutOpening,250,8.666667e-04,5.372509e-05,4.708164e-02,7.235406e+06,4.485263e+05,CL95
